City,Colors_Reported,Shape_Reported,State,Time,Year,Month,Day,Hour
New York City,,DISK,NY,1970-10-01 21:00:00,1970,10,1,21
Bellmore,,DISK,NY,1970-10-10 16:00:00,1970,10,10,16
Manchester,,,KY,1970-10-10 19:00:00,1970,10,10,19
Westland,,,MI,1970-10-15 10:00:00,1970,10,15,10
San Diego,,LIGHT,CA,1970-10-15 23:00:00,1970,10,15,23
Lindenhurst,,SPHERE,NY,1970-10-29 19:50:00,1970,10,29,19
Corpus Christi,,OVAL,TX,1970-10-30 03:00:00,1970,10,30,3
Rochester,RED,,NY,1970-11-01 20:30:00,1970,11,1,20
Beardstown,,LIGHT,IL,1970-11-05 01:00:00,1970,11,5,1
Franklin,,SPHERE,TN,1970-11-07 21:00:00,1970,11,7,21
Columbus,RED,SPHERE,OH,1970-11-15 20:00:00,1970,11,15,20
Somerville,,DISK,NJ,1970-11-15 21:00:00,1970,11,15,21
Union,,DISK,NJ,1970-12-01 16:30:00,1970,12,1,16
Albuquerque,,OTHER,NM,1970-12-05 20:00:00,1970,12,5,20
Newton Centre,YELLOW,OTHER,MA,1970-12-15 21:00:00,1970,12,15,21
Meriden,,,CT,1970-12-20 17:00:00,1970,12,20,17
Lake  Wales,,OVAL,FL,1970-12-21 19:00:00,1970,12,21,19
Colorado Springs,,RECTANGLE,CO,1970-12-24 00:00:00,1970,12,24,0
Berlin,,CYLINDER,NJ,1970-12-24 18:00:00,1970,12,24,18
Tewksbury,,,MA,1971-01-07 22:00:00,1971,1,7,22
Waverly Hall,,CIRCLE,GA,1971-02-01 18:30:00,1971,2,1,18
Gorham,,LIGHT,NH,1971-02-01 19:00:00,1971,2,1,19
Conshohocken,,CIRCLE,PA,1971-02-05 18:45:00,1971,2,5,18
Havensville,,CIRCLE,KS,1971-02-05 20:30:00,1971,2,5,20
Everglades,,DISK,FL,1971-02-15 00:00:00,1971,2,15,0
Savannah,,CIRCLE,GA,1971-02-15 19:00:00,1971,2,15,19
Deltona,,VARIOUS,FL,1971-02-15 21:00:00,1971,2,15,21
Los Angeles,,OTHER,CA,1971-03-03 18:00:00,1971,3,3,18
Boulder Creek,,CIGAR,CA,1971-04-01 21:00:00,1971,4,1,21
Santa Rosa,,LIGHT,CA,1971-04-03 20:00:00,1971,4,3,20
Orlando,,DISK,FL,1971-04-05 18:00:00,1971,4,5,18
Talladega,,DISK,AL,1971-04-05 19:00:00,1971,4,5,19
Osceola,,DISK,IA,1971-04-06 20:00:00,1971,4,6,20
Carrolton,,CIRCLE,GA,1971-04-11 23:00:00,1971,4,11,23
Dennis,,,MA,1971-04-14 20:00:00,1971,4,14,20
Rural New Mexico,,TRIANGLE,NM,1971-04-15 03:15:00,1971,4,15,3
Burlington,,CIRCLE,NC,1971-04-15 15:30:00,1971,4,15,15
Thomasville,,DISK,GA,1971-04-15 21:00:00,1971,4,15,21
Lewisburg,,TRIANGLE,WV,1971-05-01 02:00:00,1971,5,1,2
Cherokee,,LIGHT,AL,1971-05-01 19:00:00,1971,5,1,19
Molson,,CIRCLE,WA,1971-05-05 18:00:00,1971,5,5,18
New Martinsville,,LIGHT,WV,1971-05-05 20:00:00,1971,5,5,20
Cowpen,,CONE,SC,1971-05-15 16:00:00,1971,5,15,16
Irmo,,CIRCLE,SC,1971-05-20 16:00:00,1971,5,20,16
Kennett Square,,DISK,PA,1971-05-21 18:00:00,1971,5,21,18
Palos Verde,,SPHERE,CA,1971-05-29 21:00:00,1971,5,29,21
Holliday,,DISK,TX,1971-06-01 01:00:00,1971,6,1,1
Newport,,LIGHT,TN,1971-06-01 01:00:00,1971,6,1,1
Westminster,,FLASH,CO,1971-06-01 03:00:00,1971,6,1,3
Albany,ORANGE,DISK,GA,1971-06-01 08:00:00,1971,6,1,8
Vancouver,,DISK,WA,1971-06-01 11:30:00,1971,6,1,11
Berne,,DISK,IN,1971-06-01 14:00:00,1971,6,1,14
Forrest City,,DISK,AR,1971-06-01 17:00:00,1971,6,1,17
Moultrie,,CIGAR,GA,1971-06-01 21:00:00,1971,6,1,21
Victorville,,LIGHT,CA,1971-06-06 21:00:00,1971,6,6,21
Fremont,,CIRCLE,CA,1971-06-10 09:00:00,1971,6,10,9
Allen,,SPHERE,MD,1971-06-10 10:00:00,1971,6,10,10
Goodman,,DISK,MO,1971-06-10 11:00:00,1971,6,10,11
Portage,,CIGAR,WI,1971-06-10 15:00:00,1971,6,10,15
Spokane,,DISK,WA,1971-06-10 15:50:00,1971,6,10,15
Broken Bow,,TRIANGLE,OK,1971-06-14 20:45:00,1971,6,14,20
Sparta,,OVAL,NJ,1971-06-15 00:45:00,1971,6,15,0
Brockton,,DISK,MA,1971-06-15 11:00:00,1971,6,15,11
Orange,,DISK,CA,1971-06-15 12:00:00,1971,6,15,12
Chuluota,,TRIANGLE,FL,1971-06-15 20:00:00,1971,6,15,20
Santa Clara,,DISK,CA,1971-06-15 20:00:00,1971,6,15,20
Karnes County,ORANGE,CIRCLE,TX,1971-06-15 23:10:00,1971,6,15,23
Sunnyvale,,OTHER,CA,1971-06-27 23:00:00,1971,6,27,23
Vandenberg AFB,,DISK,CA,1971-06-30 01:00:00,1971,6,30,1
Yellowstone National Park,,EGG,WY,1971-06-30 14:00:00,1971,6,30,14
Morrice,,DISK,MI,1971-06-30 20:00:00,1971,6,30,20
Ashland,,DISK,VA,1971-06-30 21:00:00,1971,6,30,21
Dayton,,OVAL,OH,1971-06-30 22:00:00,1971,6,30,22
Georgia,,CIRCLE,GA,1971-07-01 13:00:00,1971,7,1,13
Morgantown-Martinsville area,,OTHER,IN,1971-07-01 20:00:00,1971,7,1,20
Santa Barbara,,,CA,1971-07-04 19:00:00,1971,7,4,19
Liberal,,CIGAR,KS,1971-07-04 22:00:00,1971,7,4,22
Colorado River Highway,,CHEVRON,AZ,1971-07-05 03:00:00,1971,7,5,3
New Orleans,,OVAL,LA,1971-07-10 14:00:00,1971,7,10,14
St. Cloud,,LIGHT,MN,1971-07-10 18:00:00,1971,7,10,18
Danese,,,WV,1971-07-14 22:00:00,1971,7,14,22
Genoa,,CIGAR,WV,1971-07-15 12:00:00,1971,7,15,12
Big Rapids,,OVAL,MI,1971-07-15 18:00:00,1971,7,15,18
Steelville,,LIGHT,MO,1971-07-15 20:00:00,1971,7,15,20
Hancock,,FORMATION,MI,1971-07-15 22:00:00,1971,7,15,22
Wauwatosa,,DISK,WI,1971-07-17 21:00:00,1971,7,17,21
Kelso,,TRIANGLE,WA,1971-07-20 04:00:00,1971,7,20,4
Manchester,,LIGHT,CT,1971-07-20 21:00:00,1971,7,20,21
New Goshen,,DIAMOND,IN,1971-07-20 22:00:00,1971,7,20,22
Tucson,,TEARDROP,AZ,1971-07-22 00:15:00,1971,7,22,0
Allentown,,LIGHT,PA,1971-07-25 00:00:00,1971,7,25,0
Puyallup,,CIRCLE,WA,1971-07-25 23:40:00,1971,7,25,23
Bolivar,ORANGE,CIGAR,MO,1971-07-30 18:00:00,1971,7,30,18
Lamoille,,CIGAR,NV,1971-08-01 15:00:00,1971,8,1,15
Goldsmith,,LIGHT,TX,1971-08-01 20:00:00,1971,8,1,20
Fredonia,,,AL,1971-08-01 21:00:00,1971,8,1,21
Kauai,,DISK,HI,1971-08-02 20:00:00,1971,8,2,20
Holt,,DISK,CA,1971-08-09 23:00:00,1971,8,9,23
Corning,,DISK,NY,1971-08-10 22:00:00,1971,8,10,22
Fallsburg,,CROSS,NY,1971-08-11 13:00:00,1971,8,11,13
Beavercreek,,LIGHT,OH,1971-08-15 19:00:00,1971,8,15,19
Woodland,,LIGHT,WA,1971-08-15 23:00:00,1971,8,15,23
Nuevo Laredo,,FORMATION,TX,1971-08-17 18:30:00,1971,8,17,18
Quonsett Pt. NAS,,OTHER,RI,1971-08-17 22:15:00,1971,8,17,22
Oakland,,DISK,CA,1971-08-19 00:00:00,1971,8,19,0
North Ridgeville,,CIRCLE,OH,1971-08-20 21:30:00,1971,8,20,21
FREEWAY BY AIR FORCE BASE,,CIGAR,CA,1971-09-01 04:00:00,1971,9,1,4
Humboldt,,CIGAR,IA,1971-09-01 08:00:00,1971,9,1,8
Dexter,,SPHERE,ME,1971-09-01 14:00:00,1971,9,1,14
Buffalo,,TRIANGLE,NY,1971-09-01 15:00:00,1971,9,1,15
Orono,RED,RECTANGLE,ME,1971-09-01 22:00:00,1971,9,1,22
Forest Grove,,CIRCLE,MI,1971-09-01 22:30:00,1971,9,1,22
Indianapolis,,OTHER,IN,1971-09-10 19:00:00,1971,9,10,19
Mojave Desert,,DISK,CA,1971-09-15 01:00:00,1971,9,15,1
San Antonio,RED,OVAL,TX,1971-09-15 10:30:00,1971,9,15,10
Houston,,CIRCLE,TX,1971-09-15 18:00:00,1971,9,15,18
Crescent City,,,CA,1971-09-15 19:00:00,1971,9,15,19
Blacksburg,,DISK,SC,1971-09-15 20:00:00,1971,9,15,20
Hazlet,,DISK,NJ,1971-09-15 23:00:00,1971,9,15,23
Woodland,,DISK,WA,1971-09-20 16:00:00,1971,9,20,16
St. Marys,,CIGAR,PA,1971-09-30 07:30:00,1971,9,30,7
Pasadena,,DISK,CA,1971-10-01 22:00:00,1971,10,1,22
Lexington,,OVAL,NC,1971-10-10 21:00:00,1971,10,10,21
Menands,,CHEVRON,NY,1971-10-12 22:00:00,1971,10,12,22
Bristol,,DISK,CT,1971-10-13 21:00:00,1971,10,13,21
Lago Vista,,FORMATION,TX,1971-10-15 00:00:00,1971,10,15,0
Bremerton,,DISK,WA,1971-10-15 18:00:00,1971,10,15,18
Litchfield,,CIRCLE,CT,1971-10-15 20:30:00,1971,10,15,20
Tinley Park,,DISK,IL,1971-10-15 20:30:00,1971,10,15,20
Bristol,,TRIANGLE,CT,1971-10-29 16:00:00,1971,10,29,16
Holliston,,,MA,1971-10-29 18:45:00,1971,10,29,18
Monterey Park,,CIRCLE,CA,1971-11-12 16:45:00,1971,11,12,16
Lake Victor,,SPHERE,TX,1971-11-15 21:00:00,1971,11,15,21
Knox,,DISK,NY,1971-11-17 21:00:00,1971,11,17,21
Vindoen Island,YELLOW,DISK,OH,1971-11-22 08:05:00,1971,11,22,8
Mountainview,,TRIANGLE,CA,1971-12-20 16:00:00,1971,12,20,16
Oxnard,BLUE,SPHERE,CA,1971-12-25 08:00:00,1971,12,25,8
Seattle,,TRIANGLE,WA,1972-01-01 16:00:00,1972,1,1,16
Huntsville,,,AL,1972-01-01 20:00:00,1972,1,1,20
Gering,,LIGHT,NE,1972-01-05 19:30:00,1972,1,5,19
Malmstrom AFB,,,MT,1972-01-15 23:00:00,1972,1,15,23
Blacksburg,,LIGHT,SC,1972-01-18 21:00:00,1972,1,18,21
Cherry Hill,,,NJ,1972-02-20 06:30:00,1972,2,20,6
Salinas,,CIGAR,CA,1972-03-01 23:30:00,1972,3,1,23
Scottsville,,DISK,KY,1972-03-04 02:00:00,1972,3,4,2
Chicago,,OTHER,IL,1972-03-08 18:00:00,1972,3,8,18
Los Lunas,,,NM,1972-03-15 01:00:00,1972,3,15,1
Panama City,,SPHERE,FL,1972-03-15 19:00:00,1972,3,15,19
Millers Falls,,,MA,1972-03-15 22:00:00,1972,3,15,22
Anaheim,,CYLINDER,CA,1972-03-20 17:30:00,1972,3,20,17
Boca Raton,,TEARDROP,FL,1972-03-24 20:30:00,1972,3,24,20
Indianapolis,,DISK,IN,1972-04-01 19:00:00,1972,4,1,19
Sulphur Springs,BLUE,DISK,TX,1972-04-01 20:00:00,1972,4,1,20
New Mexico,,,NM,1972-05-01 01:00:00,1972,5,1,1
Moline,,SPHERE,IL,1972-05-01 18:00:00,1972,5,1,18
Port Penn,BLUE,,DE,1972-05-01 18:30:00,1972,5,1,18
Hico,,DISK,TX,1972-05-05 03:00:00,1972,5,5,3
Livingston,,FIREBALL,MT,1972-05-08 16:00:00,1972,5,8,16
Schaumburg,,OVAL,IL,1972-05-15 22:00:00,1972,5,15,22
Wilmington,,OTHER,DE,1972-05-30 17:00:00,1972,5,30,17
Gautier,,OTHER,MS,1972-06-01 00:00:00,1972,6,1,0
Oxford,,LIGHT,MI,1972-06-01 00:00:00,1972,6,1,0
Two Egg Mariana,,CIRCLE,FL,1972-06-01 02:30:00,1972,6,1,2
Burnsville,,CYLINDER,NC,1972-06-01 06:00:00,1972,6,1,6
Nevada Desert,,OVAL,NV,1972-06-01 12:00:00,1972,6,1,12
Austin,,LIGHT,TX,1972-06-01 18:00:00,1972,6,1,18
Farmers Branch,,SPHERE,TX,1972-06-01 18:00:00,1972,6,1,18
Shelter Cove,,DISK,CA,1972-06-01 19:20:00,1972,6,1,19
Monterey,,,CA,1972-06-01 20:00:00,1972,6,1,20
Stratford,,CIGAR,WI,1972-06-01 20:00:00,1972,6,1,20
Newnan,,,GA,1972-06-01 21:00:00,1972,6,1,21
Greenville,GREEN,CIRCLE,SC,1972-06-01 21:30:00,1972,6,1,21
Bilxoi,,DISK,MS,1972-06-01 22:00:00,1972,6,1,22
Sierra Vista,,SPHERE,AZ,1972-06-01 22:00:00,1972,6,1,22
Texas City,ORANGE,LIGHT,TX,1972-06-01 22:00:00,1972,6,1,22
Winnebago,,TRIANGLE,IL,1972-06-01 22:00:00,1972,6,1,22
Moreland,,LIGHT,KY,1972-06-01 22:30:00,1972,6,1,22
Vienna,,CIGAR,MO,1972-06-01 23:00:00,1972,6,1,23
Tate,,CIRCLE,GA,1972-06-01 23:30:00,1972,6,1,23
Asheville,,OTHER,NC,1972-06-02 05:00:00,1972,6,2,5
Lyndhurst,,OVAL,OH,1972-06-07 14:00:00,1972,6,7,14
Anderson,RED ORANGE,CIRCLE,CA,1972-06-09 13:00:00,1972,6,9,13
Millerton,BLUE,DISK,NY,1972-06-10 00:00:00,1972,6,10,0
LaCoste,,CIRCLE,TX,1972-06-10 05:00:00,1972,6,10,5
Broadelbin,,LIGHT,NY,1972-06-11 22:00:00,1972,6,11,22
Allentown,,CHEVRON,PA,1972-06-14 22:15:00,1972,6,14,22
Ohio City,,DISK,OH,1972-06-15 00:00:00,1972,6,15,0
Two Egg,,CIRCLE,FL,1972-06-15 02:00:00,1972,6,15,2
Union Grove,,FORMATION,AL,1972-06-15 20:30:00,1972,6,15,20
Chermont,,OTHER,FL,1972-06-15 21:00:00,1972,6,15,21
Greensboro,RED,DISK,NC,1972-06-15 21:00:00,1972,6,15,21
Lowell,,OTHER,OH,1972-06-15 22:00:00,1972,6,15,22
Provo,,DISK,UT,1972-06-16 18:30:00,1972,6,16,18
Pocono Mts.,,LIGHT,PA,1972-06-20 05:30:00,1972,6,20,5
Arlington Heights,,DISK,IL,1972-06-20 16:00:00,1972,6,20,16
Arlington Heights,,DISK,IL,1972-06-20 16:00:00,1972,6,20,16
Los Angeles,,LIGHT,CA,1972-06-20 20:00:00,1972,6,20,20
Oregon City,,TRIANGLE,OR,1972-06-22 03:15:00,1972,6,22,3
Williamsport,,CIGAR,PA,1972-06-22 18:00:00,1972,6,22,18
Millerton,,DISK,NY,1972-06-22 23:45:00,1972,6,22,23
Buffalo,RED,DISK,NY,1972-06-24 23:00:00,1972,6,24,23
Albany,,CIGAR,NY,1972-06-25 15:00:00,1972,6,25,15
Arroy Seco,GREEN,CIRCLE,CA,1972-06-30 00:00:00,1972,6,30,0
Fairfield,,FIREBALL,CA,1972-06-30 00:00:00,1972,6,30,0
Loomis,,,CA,1972-06-30 00:00:00,1972,6,30,0
Roanoke,,,VA,1972-06-30 03:30:00,1972,6,30,3
Roanoke,,OVAL,FL,1972-06-30 03:30:00,1972,6,30,3
Burnsville,,CIRCLE,NC,1972-06-30 05:00:00,1972,6,30,5
Dallas,GREEN,,TX,1972-06-30 12:00:00,1972,6,30,12
Sanford,,CIRCLE,FL,1972-06-30 14:00:00,1972,6,30,14
Fort Stockton,,OTHER,TX,1972-06-30 15:00:00,1972,6,30,15
Beachwood,,DISK,OH,1972-06-30 16:30:00,1972,6,30,16
Tarpon Springs,,LIGHT,FL,1972-06-30 18:00:00,1972,6,30,18
Lenoir,,DISK,NC,1972-06-30 19:00:00,1972,6,30,19
Hutsonville,,DISK,IL,1972-06-30 20:00:00,1972,6,30,20
Conway,,DISK,NC,1972-06-30 21:00:00,1972,6,30,21
Greensboro,ORANGE,LIGHT,NC,1972-06-30 21:00:00,1972,6,30,21
Highway,,CIRCLE,KS,1972-06-30 21:00:00,1972,6,30,21
Fort Collins,,OTHER,CO,1972-06-30 23:00:00,1972,6,30,23
Osowatomie,,CIRCLE,KS,1972-06-30 23:00:00,1972,6,30,23
Goshen,BLUE,OVAL,WI,1972-07-01 00:00:00,1972,7,1,0
Stone Mountain,,CIRCLE,GA,1972-07-01 03:00:00,1972,7,1,3
Salt Lake,,OVAL,UT,1972-07-01 12:00:00,1972,7,1,12
Bedford Park,,OTHER,IL,1972-07-01 15:00:00,1972,7,1,15
Provo,,DISK,UT,1972-07-01 19:00:00,1972,7,1,19
Campbell,,OVAL,CA,1972-07-01 21:30:00,1972,7,1,21
Rehobeth Beach,RED YELLOW,DISK,DE,1972-07-04 21:00:00,1972,7,4,21
Powell,,FIREBALL,WY,1972-07-05 01:00:00,1972,7,5,1
Park City,,DISK,KS,1972-07-05 14:00:00,1972,7,5,14
Bryan,,TRIANGLE,TX,1972-07-09 21:00:00,1972,7,9,21
Southington,,DISK,CT,1972-07-12 12:15:00,1972,7,12,12
East Brunswick,,DISK,NJ,1972-07-15 00:00:00,1972,7,15,0
Sioux Falls,,CYLINDER,SD,1972-07-15 00:00:00,1972,7,15,0
Kekaha Highway,,CIRCLE,HI,1972-07-15 13:00:00,1972,7,15,13
Brea,,OTHER,CA,1972-07-15 16:00:00,1972,7,15,16
Indianapolis,RED YELLOW,CIGAR,IN,1972-07-15 17:00:00,1972,7,15,17
Morton,ORANGE,TRIANGLE,MN,1972-07-15 17:00:00,1972,7,15,17
Chesterfield,,CIGAR,NH,1972-07-15 20:00:00,1972,7,15,20
Houston,,LIGHT,TX,1972-07-15 20:00:00,1972,7,15,20
Cincinnati,,TRIANGLE,PA,1972-07-15 21:00:00,1972,7,15,21
El Paso,,LIGHT,TX,1972-07-15 22:00:00,1972,7,15,22
Medford,,LIGHT,OR,1972-07-15 22:00:00,1972,7,15,22
Mariemont,,OVAL,OH,1972-07-15 23:00:00,1972,7,15,23
Williamsport,,FIREBALL,PA,1972-07-20 15:00:00,1972,7,20,15
Wayland,,LIGHT,MA,1972-07-21 22:00:00,1972,7,21,22
West Pittson,,CIRCLE,PA,1972-07-28 00:00:00,1972,7,28,0
Mojave,,LIGHT,CA,1972-07-30 18:00:00,1972,7,30,18
Phoenix,,DISK,AZ,1972-08-01 15:00:00,1972,8,1,15
Ponca City,,LIGHT,OK,1972-08-02 02:00:00,1972,8,2,2
Tucson,,CYLINDER,AZ,1972-08-02 23:00:00,1972,8,2,23
High Island,,LIGHT,TX,1972-08-04 23:00:00,1972,8,4,23
Bloomington,,CIRCLE,IL,1972-08-10 12:10:00,1972,8,10,12
Cincinnati,,DIAMOND,OH,1972-08-10 16:00:00,1972,8,10,16
Milford,,CIRCLE,CT,1972-08-14 06:00:00,1972,8,14,6
Ellensburg,,CIRCLE,WA,1972-08-15 01:00:00,1972,8,15,1
Mt. Sterling,,DISK,OH,1972-08-15 01:00:00,1972,8,15,1
Roanoke,,CIRCLE,VA,1972-08-15 09:00:00,1972,8,15,9
Aberdeen,,TRIANGLE,MD,1972-08-18 01:30:00,1972,8,18,1
Milwaukie,,LIGHT,OR,1972-08-20 19:00:00,1972,8,20,19
Sayreville,GREEN,LIGHT,NJ,1972-08-22 22:30:00,1972,8,22,22
Coldwater,,TRIANGLE,AL,1972-08-25 08:30:00,1972,8,25,8
Cincinnati,,DIAMOND,OH,1972-08-25 17:00:00,1972,8,25,17
Waukesha,,OVAL,WI,1972-08-28 01:15:00,1972,8,28,1
Bixby South,,CIRCLE,OK,1972-08-28 23:15:00,1972,8,28,23
Anchorage,BLUE,CIRCLE,AK,1972-08-30 01:30:00,1972,8,30,1
Onawa,RED,DISK,IA,1972-09-01 10:00:00,1972,9,1,10
Lago Vista,,LIGHT,TX,1972-09-01 19:00:00,1972,9,1,19
Loveland,,DISK,OH,1972-09-01 22:00:00,1972,9,1,22
Panama City,,,FL,1972-09-15 03:00:00,1972,9,15,3
Tupelo,,OVAL,MS,1972-09-15 07:00:00,1972,9,15,7
Maple Valley,,DISK,WA,1972-09-15 18:00:00,1972,9,15,18
Rensselaer,,LIGHT,IN,1972-09-15 21:00:00,1972,9,15,21
Hermann,ORANGE GREEN,DISK,MO,1972-09-20 16:00:00,1972,9,20,16
Hartville,,CHEVRON,MO,1972-09-20 17:30:00,1972,9,20,17
Sweet Home,,,OR,1972-10-01 00:00:00,1972,10,1,0
Potwin,,,KS,1972-10-01 01:00:00,1972,10,1,1
Denton,,,TX,1972-10-01 04:00:00,1972,10,1,4
Mosheim,,DISK,TX,1972-10-01 20:00:00,1972,10,1,20
Monroe,,RECTANGLE,WA,1972-10-01 23:00:00,1972,10,1,23
Pickens,,CHEVRON,SC,1972-10-01 23:00:00,1972,10,1,23
Greenville,,LIGHT,SC,1972-10-04 22:00:00,1972,10,4,22
Fortuna,,SPHERE,CA,1972-10-05 21:45:00,1972,10,5,21
Eatonton,,DISK,GA,1972-10-08 18:45:00,1972,10,8,18
Harlan County,,CIRCLE,KY,1972-10-10 19:00:00,1972,10,10,19
West Bloomfield,,DISK,MI,1972-10-10 22:30:00,1972,10,10,22
North Tarrytown,,DISK,NY,1972-10-15 16:00:00,1972,10,15,16
New Albany,,DISK,IN,1972-10-17 21:00:00,1972,10,17,21
Wellsville,,DISK,NY,1972-10-25 20:00:00,1972,10,25,20
Monroeville,,CYLINDER,AL,1972-10-29 15:30:00,1972,10,29,15
Winding Stair Camp Ground,,LIGHT,OK,1972-11-01 01:00:00,1972,11,1,1
Trinidad,,LIGHT,CA,1972-11-01 08:00:00,1972,11,1,8
Crescent City,,,CA,1972-11-01 19:30:00,1972,11,1,19
Hiawassee,,CIRCLE,GA,1972-11-01 22:00:00,1972,11,1,22
Tucson,,TRIANGLE,AZ,1972-11-08 20:00:00,1972,11,8,20
Lebanon,,OVAL,TN,1972-11-20 21:00:00,1972,11,20,21
Chattanooga,,CIRCLE,TN,1972-12-01 17:00:00,1972,12,1,17
Eddington,,CIRCLE,ME,1972-12-01 19:00:00,1972,12,1,19
Osowatomie,,CIRCLE,KS,1972-12-01 20:00:00,1972,12,1,20
Colorado Springs,,DISK,CO,1972-12-24 02:00:00,1972,12,24,2
Chattanooga,,OVAL,TN,1973-01-01 23:30:00,1973,1,1,23
Mussel Shoals,ORANGE,OVAL,AL,1973-01-08 21:00:00,1973,1,8,21
Farmington,,LIGHT,NM,1973-01-12 03:00:00,1973,1,12,3
Scranton,,RECTANGLE,PA,1973-01-14 19:00:00,1973,1,14,19
Glendora,,DISK,CA,1973-01-28 23:38:00,1973,1,28,23
Honolulu,BLUE,SPHERE,HI,1973-02-01 22:00:00,1973,2,1,22
Port Sulphur,,CIRCLE,LA,1973-02-01 23:00:00,1973,2,1,23
Roanoke,,SPHERE,VA,1973-02-02 21:00:00,1973,2,2,21
Fort Rucker,,LIGHT,AL,1973-02-03 16:00:00,1973,2,3,16
Houston,,RECTANGLE,TX,1973-02-10 16:00:00,1973,2,10,16
Lake Okeechoobee,,,FL,1973-02-15 22:00:00,1973,2,15,22
Santa Fe,,,NM,1973-03-01 01:00:00,1973,3,1,1
Winston-Salem,,LIGHT,NC,1973-03-01 06:00:00,1973,3,1,6
St. Augustine,,LIGHT,FL,1973-03-01 20:00:00,1973,3,1,20
Plain,,OTHER,WA,1973-03-12 02:00:00,1973,3,12,2
New Orleans,,CIRCLE,LA,1973-03-13 04:00:00,1973,3,13,4
Inkster,,FIREBALL,MI,1973-03-15 05:00:00,1973,3,15,5
Hartford,,TRIANGLE,CT,1973-03-15 17:00:00,1973,3,15,17
Sacramento,,CYLINDER,CA,1973-03-23 17:00:00,1973,3,23,17
Lufkin,,DISK,TX,1973-04-01 00:00:00,1973,4,1,0
Houston,,DISK,TX,1973-04-05 21:30:00,1973,4,5,21
Goose Creek,BLUE,CIRCLE,SC,1973-04-15 11:00:00,1973,4,15,11
Mayfield,,CIGAR,KY,1973-04-15 15:00:00,1973,4,15,15
Glenolden,,OVAL,PA,1973-04-15 18:30:00,1973,4,15,18
Oakcliff,RED GREEN,CIRCLE,TX,1973-04-16 16:00:00,1973,4,16,16
Grand Chenier,,SPHERE,LA,1973-04-25 18:30:00,1973,4,25,18
Ocean Springs,,TRIANGLE,MS,1973-04-28 20:00:00,1973,4,28,20
Gaithersburg,GREEN,DISK,MD,1973-05-01 09:00:00,1973,5,1,9
Brownfield,,LIGHT,TX,1973-05-01 14:00:00,1973,5,1,14
Rockville,,OTHER,MD,1973-05-01 20:00:00,1973,5,1,20
Texas City,,DISK,TX,1973-05-01 20:00:00,1973,5,1,20
Hampton,ORANGE,FIREBALL,AR,1973-05-05 03:00:00,1973,5,5,3
San Luis Obispo,,,CA,1973-05-14 16:00:00,1973,5,14,16
Madison,,DISK,AL,1973-05-14 20:00:00,1973,5,14,20
Tacoma,,SPHERE,WA,1973-05-15 01:30:00,1973,5,15,1
Chugiak,,RECTANGLE,AK,1973-05-15 22:00:00,1973,5,15,22
Huntsville,,DISK,AL,1973-05-19 20:10:00,1973,5,19,20
Huntsville,,CYLINDER,AL,1973-05-21 20:00:00,1973,5,21,20
Peoria,,OVAL,IL,1973-05-23 00:00:00,1973,5,23,0
Bentonville,,OTHER,AR,1973-06-01 00:00:00,1973,6,1,0
Schenectady,,CIRCLE,NY,1973-06-01 00:00:00,1973,6,1,0
Sultan,,CIRCLE,WA,1973-06-01 00:00:00,1973,6,1,0
Folkston,,LIGHT,GA,1973-06-01 02:00:00,1973,6,1,2
Oak Harbor,,,WA,1973-06-01 03:00:00,1973,6,1,3
San Rafael,,OVAL,CA,1973-06-01 13:00:00,1973,6,1,13
Gainsville,,SPHERE,GA,1973-06-01 18:00:00,1973,6,1,18
Eddington,,CIRCLE,ME,1973-06-01 19:00:00,1973,6,1,19
Landis,,LIGHT,NC,1973-06-01 19:30:00,1973,6,1,19
Austin,,SPHERE,TX,1973-06-01 21:00:00,1973,6,1,21
Fredericktown,,LIGHT,MO,1973-06-01 21:00:00,1973,6,1,21
Pensacola,,CIRCLE,FL,1973-06-01 21:00:00,1973,6,1,21
Honolulu,,DISK,HI,1973-06-01 22:30:00,1973,6,1,22
Larchwood,,DIAMOND,IA,1973-06-06 22:00:00,1973,6,6,22
Brockton,,SPHERE,MA,1973-06-06 23:00:00,1973,6,6,23
La Porte,,DISK,TX,1973-06-07 15:00:00,1973,6,7,15
Clearfield,,LIGHT,PA,1973-06-08 17:00:00,1973,6,8,17
St. Charles,,SPHERE,MO,1973-06-10 21:00:00,1973,6,10,21
Irwin,,OTHER,PA,1973-06-12 21:00:00,1973,6,12,21
Blackhawk,,CIRCLE,CO,1973-06-15 00:00:00,1973,6,15,0
Mechanicsburg,RED,DISK,PA,1973-06-15 00:00:00,1973,6,15,0
Fort Lawn,,OVAL,SC,1973-06-15 06:00:00,1973,6,15,6
Huntington Beach,,CIGAR,CA,1973-06-15 06:00:00,1973,6,15,6
Los Alamos,,CIGAR,NM,1973-06-15 08:00:00,1973,6,15,8
Hillsboro,RED,CIRCLE,WV,1973-06-15 14:00:00,1973,6,15,14
Bridgeport,,DISK,AL,1973-06-15 15:30:00,1973,6,15,15
Tampa,,CIGAR,FL,1973-06-15 19:30:00,1973,6,15,19
River Vale,,CIRCLE,NJ,1973-06-15 20:00:00,1973,6,15,20
Decatur,,CIRCLE,AL,1973-06-15 21:00:00,1973,6,15,21
Medaryville,,DISK,IN,1973-06-15 21:00:00,1973,6,15,21
